id,startedAt,endedAt,userId,taskId,actionSequence,parsed_trajectory
1022,2024-02-15 02:35:01.216,2024-02-15 02:35:30.429,2,103,"[{""category"":""Critical"",""operation"":""ResizeGrid"",""position"":{""x"":1,""y"":1},""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-02-15T02:35:26.767Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-02-15T02:35:28.079Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[2]],""object"":[],""overlapped"":true,""timestamp"":""2024-02-15T02:35:28.193Z""},{""category"":""Selection"",""operation"":""SelectObject"",""position"":{""x"":0,""y"":0},""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-02-15T02:35:28.196Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":1}],""overlapped"":false,""timestamp"":""2024-02-15T02:35:29.635Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[1]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-02-15T02:35:30.428Z""}]","[({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'ResizeGrid', 'position': {'x': 1, 'y': 1}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[2]], 'object': [], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectObject', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 1}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[1]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
1284,2024-02-15 02:41:36.873,2024-02-15 02:41:54.074,42,103,"[{""category"":""Selection"",""operation"":""SelectGrid"",""grid"":[[0,0,0],[0,0,0],[0,0,0]],""object"":[{""y"":0,""x"":0,""color"":2},{""y"":0,""x"":1,""color"":0},{""y"":0,""x"":2,""color"":2},{""y"":1,""x"":0,""color"":2},{""y"":1,""x"":1,""color"":2},{""y"":1,""x"":2,""color"":2},{""y"":2,""x"":0,""color"":2},{""y"":2,""x"":1,""color"":0},{""y"":2,""x"":2,""color"":2}],""overlapped"":true,""timestamp"":""2024-02-15T02:41:51.304Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[0,0,0],[0,0,0],[0,0,0]],""object"":[{""y"":0,""x"":0,""color"":1},{""y"":0,""x"":1,""color"":1},{""y"":0,""x"":2,""color"":1},{""y"":1,""x"":0,""color"":1},{""y"":1,""x"":1,""color"":1},{""y"":1,""x"":2,""color"":1},{""y"":2,""x"":0,""color"":1},{""y"":2,""x"":1,""color"":1},{""y"":2,""x"":2,""color"":1}],""overlapped"":false,""timestamp"":""2024-02-15T02:41:52.882Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[1,1,1],[1,1,1],[1,1,1]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-02-15T02:41:54.073Z""}]","[({'grid': [[0, 0, 0], [0, 0, 0], [0, 0, 0]], 'object': [{'y': 0, 'x': 0, 'color': 2}, {'y': 0, 'x': 1, 'color': 0}, {'y': 0, 'x': 2, 'color': 2}, {'y': 1, 'x': 0, 'color': 2}, {'y': 1, 'x': 1, 'color': 2}, {'y': 1, 'x': 2, 'color': 2}, {'y': 2, 'x': 0, 'color': 2}, {'y': 2, 'x': 1, 'color': 0}, {'y': 2, 'x': 2, 'color': 2}], 'overlapped': True}, {'operation': 'SelectGrid', 'position': None, 'color': None}), ({'grid': [[0, 0, 0], [0, 0, 0], [0, 0, 0]], 'object': [{'y': 0, 'x': 0, 'color': 1}, {'y': 0, 'x': 1, 'color': 1}, {'y': 0, 'x': 2, 'color': 1}, {'y': 1, 'x': 0, 'color': 1}, {'y': 1, 'x': 1, 'color': 1}, {'y': 1, 'x': 2, 'color': 1}, {'y': 2, 'x': 0, 'color': 1}, {'y': 2, 'x': 1, 'color': 1}, {'y': 2, 'x': 2, 'color': 1}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[1, 1, 1], [1, 1, 1], [1, 1, 1]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
1295,2024-02-15 02:41:36.873,2024-02-15 02:42:04.518,42,103,"[{""category"":""Selection"",""operation"":""SelectGrid"",""grid"":[[0,0,0],[0,0,0],[0,0,0]],""object"":[{""y"":0,""x"":0,""color"":2},{""y"":0,""x"":1,""color"":0},{""y"":0,""x"":2,""color"":2},{""y"":1,""x"":0,""color"":2},{""y"":1,""x"":1,""color"":2},{""y"":1,""x"":2,""color"":2},{""y"":2,""x"":0,""color"":2},{""y"":2,""x"":1,""color"":0},{""y"":2,""x"":2,""color"":2}],""overlapped"":true,""timestamp"":""2024-02-15T02:41:51.304Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[0,0,0],[0,0,0],[0,0,0]],""object"":[{""y"":0,""x"":0,""color"":1},{""y"":0,""x"":1,""color"":1},{""y"":0,""x"":2,""color"":1},{""y"":1,""x"":0,""color"":1},{""y"":1,""x"":1,""color"":1},{""y"":1,""x"":2,""color"":1},{""y"":2,""x"":0,""color"":1},{""y"":2,""x"":1,""color"":1},{""y"":2,""x"":2,""color"":1}],""overlapped"":false,""timestamp"":""2024-02-15T02:41:52.882Z""},{""category"":""Selection"",""operation"":""SelectGrid"",""grid"":[[0,0,0],[0,0,0],[0,0,0]],""object"":[{""y"":0,""x"":0,""color"":1},{""y"":0,""x"":1,""color"":1},{""y"":0,""x"":2,""color"":1},{""y"":1,""x"":0,""color"":1},{""y"":1,""x"":1,""color"":1},{""y"":1,""x"":2,""color"":1},{""y"":2,""x"":0,""color"":1},{""y"":2,""x"":1,""color"":1},{""y"":2,""x"":2,""color"":1}],""overlapped"":true,""timestamp"":""2024-02-15T02:42:02.246Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":7,""grid"":[[0,0,0],[0,0,0],[0,0,0]],""object"":[{""y"":0,""x"":0,""color"":7},{""y"":0,""x"":1,""color"":7},{""y"":0,""x"":2,""color"":7},{""y"":1,""x"":0,""color"":7},{""y"":1,""x"":1,""color"":7},{""y"":1,""x"":2,""color"":7},{""y"":2,""x"":0,""color"":7},{""y"":2,""x"":1,""color"":7},{""y"":2,""x"":2,""color"":7}],""overlapped"":false,""timestamp"":""2024-02-15T02:42:03.211Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[7,7,7],[7,7,7],[7,7,7]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-02-15T02:42:04.518Z""}]","[({'grid': [[0, 0, 0], [0, 0, 0], [0, 0, 0]], 'object': [{'y': 0, 'x': 0, 'color': 2}, {'y': 0, 'x': 1, 'color': 0}, {'y': 0, 'x': 2, 'color': 2}, {'y': 1, 'x': 0, 'color': 2}, {'y': 1, 'x': 1, 'color': 2}, {'y': 1, 'x': 2, 'color': 2}, {'y': 2, 'x': 0, 'color': 2}, {'y': 2, 'x': 1, 'color': 0}, {'y': 2, 'x': 2, 'color': 2}], 'overlapped': True}, {'operation': 'SelectGrid', 'position': None, 'color': None}), ({'grid': [[0, 0, 0], [0, 0, 0], [0, 0, 0]], 'object': [{'y': 0, 'x': 0, 'color': 1}, {'y': 0, 'x': 1, 'color': 1}, {'y': 0, 'x': 2, 'color': 1}, {'y': 1, 'x': 0, 'color': 1}, {'y': 1, 'x': 1, 'color': 1}, {'y': 1, 'x': 2, 'color': 1}, {'y': 2, 'x': 0, 'color': 1}, {'y': 2, 'x': 1, 'color': 1}, {'y': 2, 'x': 2, 'color': 1}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[0, 0, 0], [0, 0, 0], [0, 0, 0]], 'object': [{'y': 0, 'x': 0, 'color': 1}, {'y': 0, 'x': 1, 'color': 1}, {'y': 0, 'x': 2, 'color': 1}, {'y': 1, 'x': 0, 'color': 1}, {'y': 1, 'x': 1, 'color': 1}, {'y': 1, 'x': 2, 'color': 1}, {'y': 2, 'x': 0, 'color': 1}, {'y': 2, 'x': 1, 'color': 1}, {'y': 2, 'x': 2, 'color': 1}], 'overlapped': True}, {'operation': 'SelectGrid', 'position': None, 'color': None}), ({'grid': [[0, 0, 0], [0, 0, 0], [0, 0, 0]], 'object': [{'y': 0, 'x': 0, 'color': 7}, {'y': 0, 'x': 1, 'color': 7}, {'y': 0, 'x': 2, 'color': 7}, {'y': 1, 'x': 0, 'color': 7}, {'y': 1, 'x': 1, 'color': 7}, {'y': 1, 'x': 2, 'color': 7}, {'y': 2, 'x': 0, 'color': 7}, {'y': 2, 'x': 1, 'color': 7}, {'y': 2, 'x': 2, 'color': 7}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 7}), ({'grid': [[7, 7, 7], [7, 7, 7], [7, 7, 7]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
2175,2024-02-15 04:09:15.040,2024-02-15 04:09:22.573,47,103,"[{""category"":""Critical"",""operation"":""ResizeGrid"",""position"":{""x"":1,""y"":1},""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-02-15T04:09:19.824Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-02-15T04:09:21.061Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":7,""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":7}],""overlapped"":false,""timestamp"":""2024-02-15T04:09:21.822Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[7]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-02-15T04:09:22.572Z""}]","[({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'ResizeGrid', 'position': {'x': 1, 'y': 1}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 7}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 7}), ({'grid': [[7]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
2177,2024-02-15 04:09:15.040,2024-02-15 04:09:26.488,47,103,"[{""category"":""Critical"",""operation"":""ResizeGrid"",""position"":{""x"":1,""y"":1},""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-02-15T04:09:19.824Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-02-15T04:09:21.061Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":7,""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":7}],""overlapped"":false,""timestamp"":""2024-02-15T04:09:21.822Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[7]],""object"":[],""overlapped"":true,""timestamp"":""2024-02-15T04:09:24.426Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":7}],""overlapped"":true,""timestamp"":""2024-02-15T04:09:25.042Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":1}],""overlapped"":false,""timestamp"":""2024-02-15T04:09:25.921Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[1]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-02-15T04:09:26.488Z""}]","[({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'ResizeGrid', 'position': {'x': 1, 'y': 1}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 7}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 7}), ({'grid': [[7]], 'object': [], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 7}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 1}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[1]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
2491,2024-02-15 04:27:24.447,2024-02-15 04:27:53.907,5,103,"[{""category"":""Critical"",""operation"":""ResizeGrid"",""position"":{""x"":1,""y"":1},""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-02-15T04:27:39.361Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-02-15T04:27:40.516Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":1}],""overlapped"":false,""timestamp"":""2024-02-15T04:27:52.412Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[1]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-02-15T04:27:53.906Z""}]","[({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'ResizeGrid', 'position': {'x': 1, 'y': 1}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 1}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[1]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
3537,2024-04-02 03:39:37.333,2024-04-02 03:39:49.145,112,103,"[{""category"":""Selection"",""operation"":""SelectGrid"",""grid"":[[0,0,0],[0,0,0],[0,0,0]],""object"":[{""y"":0,""x"":0,""color"":2},{""y"":0,""x"":1,""color"":0},{""y"":0,""x"":2,""color"":2},{""y"":1,""x"":0,""color"":2},{""y"":1,""x"":1,""color"":2},{""y"":1,""x"":2,""color"":2},{""y"":2,""x"":0,""color"":2},{""y"":2,""x"":1,""color"":0},{""y"":2,""x"":2,""color"":2}],""overlapped"":true,""timestamp"":""2024-04-02T03:39:40.871Z""},{""category"":""Critical"",""operation"":""ResizeGrid"",""position"":{""x"":1,""y"":1},""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-04-02T03:39:43.398Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-04-02T03:39:47.275Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":1}],""overlapped"":false,""timestamp"":""2024-04-02T03:39:48.503Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[1]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-04-02T03:39:49.145Z""}]","[({'grid': [[0, 0, 0], [0, 0, 0], [0, 0, 0]], 'object': [{'y': 0, 'x': 0, 'color': 2}, {'y': 0, 'x': 1, 'color': 0}, {'y': 0, 'x': 2, 'color': 2}, {'y': 1, 'x': 0, 'color': 2}, {'y': 1, 'x': 1, 'color': 2}, {'y': 1, 'x': 2, 'color': 2}, {'y': 2, 'x': 0, 'color': 2}, {'y': 2, 'x': 1, 'color': 0}, {'y': 2, 'x': 2, 'color': 2}], 'overlapped': True}, {'operation': 'SelectGrid', 'position': None, 'color': None}), ({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'ResizeGrid', 'position': {'x': 1, 'y': 1}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 1}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[1]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
3852,2024-04-02 14:13:52.315,2024-04-02 14:14:08.176,56,103,"[{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[2,0,2],[2,2,2],[2,0,2]],""object"":[],""overlapped"":false,""timestamp"":""2024-04-02T14:14:01.081Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0,0,2],[2,2,2],[2,0,2]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-04-02T14:14:01.499Z""},{""category"":""Critical"",""operation"":""ResizeGrid"",""position"":{""x"":1,""y"":1},""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-04-02T14:14:05.268Z""},{""category"":""Critical"",""operation"":""ResizeGrid"",""position"":{""x"":1,""y"":1},""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-04-02T14:14:05.514Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-04-02T14:14:06.174Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-04-02T14:14:06.397Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":1}],""overlapped"":false,""timestamp"":""2024-04-02T14:14:07.684Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[1]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-04-02T14:14:08.176Z""}]","[({'grid': [[2, 0, 2], [2, 2, 2], [2, 0, 2]], 'object': [], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[0, 0, 2], [2, 2, 2], [2, 0, 2]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'ResizeGrid', 'position': {'x': 1, 'y': 1}, 'color': None}), ({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'ResizeGrid', 'position': {'x': 1, 'y': 1}, 'color': None}), ({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 1}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[1]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
4122,2024-04-05 07:44:11.556,2024-04-05 07:44:16.568,62,103,"[{""category"":""Critical"",""operation"":""ResizeGrid"",""position"":{""x"":1,""y"":1},""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-04-05T07:44:14.381Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[2]],""object"":[],""overlapped"":false,""timestamp"":""2024-04-05T07:44:14.907Z""},{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-04-05T07:44:15.148Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[0]],""object"":[{""x"":0,""y"":0,""color"":1}],""overlapped"":false,""timestamp"":""2024-04-05T07:44:16.021Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[1]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-04-05T07:44:16.567Z""}]","[({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'ResizeGrid', 'position': {'x': 1, 'y': 1}, 'color': None}), ({'grid': [[2]], 'object': [], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0]], 'object': [{'x': 0, 'y': 0, 'color': 1}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[1]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
4826,2024-04-07 13:58:20.282,2024-04-07 13:58:34.779,56,103,"[{""category"":""Selection"",""operation"":""SelectCell"",""position"":{""x"":0,""y"":0},""grid"":[[0,0,2],[2,2,2],[2,0,2]],""object"":[{""x"":0,""y"":0,""color"":2}],""overlapped"":true,""timestamp"":""2024-04-07T13:58:30.397Z""},{""category"":""Coloring"",""operation"":""Paint"",""color"":1,""grid"":[[0,0,2],[2,2,2],[2,0,2]],""object"":[{""x"":0,""y"":0,""color"":1}],""overlapped"":false,""timestamp"":""2024-04-07T13:58:31.447Z""},{""category"":""Critical"",""operation"":""ResizeGrid"",""position"":{""x"":1,""y"":1},""grid"":[[1]],""object"":[],""overlapped"":false,""timestamp"":""2024-04-07T13:58:33.597Z""},{""category"":""Critical"",""operation"":""Submit"",""grid"":[[1]],""object"":[],""overlapped"":true,""special"":{""succeed"":false},""timestamp"":""2024-04-07T13:58:34.778Z""}]","[({'grid': [[0, 0, 2], [2, 2, 2], [2, 0, 2]], 'object': [{'x': 0, 'y': 0, 'color': 2}], 'overlapped': True}, {'operation': 'SelectCell', 'position': {'x': 0, 'y': 0}, 'color': None}), ({'grid': [[0, 0, 2], [2, 2, 2], [2, 0, 2]], 'object': [{'x': 0, 'y': 0, 'color': 1}], 'overlapped': False}, {'operation': 'Paint', 'position': None, 'color': 1}), ({'grid': [[1]], 'object': [], 'overlapped': False}, {'operation': 'ResizeGrid', 'position': {'x': 1, 'y': 1}, 'color': None}), ({'grid': [[1]], 'object': [], 'overlapped': True}, {'operation': 'Submit', 'position': None, 'color': None})]"
